cow_id,timestamp,steps_per_hour,rumination_minutes
101,2024-01-01 08:00,120,45
101,2024-01-01 09:00,110,40
101,2024-01-01 10:00,450,10
101,2024-01-01 11:00,500,5
101,2024-01-01 12:00,550,5
101,2024-01-01 13:00,520,8
101,2024-01-01 14:00,480,12
101,2024-01-01 15:00,400,15
101,2024-01-01 16:00,350,20
101,2024-01-01 17:00,200,35
101,2024-01-01 18:00,150,40
101,2024-01-01 19:00,130,45
101,2024-01-01 20:00,80,50
101,2024-01-01 21:00,60,55
101,2024-01-01 22:00,40,58
101,2024-01-01 23:00,30,60
101,2024-01-02 00:00,20,60
101,2024-01-02 01:00,25,58
101,2024-01-02 02:00,20,59
101,2024-01-02 03:00,22,60
101,2024-01-02 04:00,30,55
101,2024-01-02 05:00,50,50
101,2024-01-02 06:00,90,45
101,2024-01-02 07:00,110,42
101,2024-01-02 08:00,115,44
102,2024-01-01 08:00,80,50
102,2024-01-01 09:00,85,48
102,2024-01-01 10:00,90,47
102,2024-01-01 11:00,95,45
102,2024-01-01 12:00,100,44
102,2024-01-01 13:00,95,46
102,2024-01-01 14:00,90,48
102,2024-01-01 15:00,85,50
102,2024-01-01 16:00,80,52
102,2024-01-01 17:00,75,53
102,2024-01-01 18:00,70,55
102,2024-01-01 19:00,65,56
102,2024-01-01 20:00,50,58
102,2024-01-01 21:00,40,60
102,2024-01-01 22:00,30,60
102,2024-01-01 23:00,25,60
102,2024-01-02 00:00,20,60
102,2024-01-02 01:00,20,60
102,2024-01-02 02:00,22,59
102,2024-01-02 03:00,25,58
102,2024-01-02 04:00,35,55
102,2024-01-02 05:00,45,52
102,2024-01-02 06:00,60,50
102,2024-01-02 07:00,75,48
102,2024-01-02 08:00,82,49
103,2024-01-01 08:00,200,30
103,2024-01-01 09:00,220,28
103,2024-01-01 10:00,250,25
103,2024-01-01 11:00,300,20
103,2024-01-01 12:00,280,22
103,2024-01-01 13:00,260,25
103,2024-01-01 14:00,240,28
103,2024-01-01 15:00,220,30
103,2024-01-01 16:00,200,32
103,2024-01-01 17:00,180,35
103,2024-01-01 18:00,150,40
103,2024-01-01 19:00,120,45
103,2024-01-01 20:00,100,48
103,2024-01-01 21:00,80,50
103,2024-01-01 22:00,60,55
103,2024-01-01 23:00,40,58
103,2024-01-02 00:00,30,60
103,2024-01-02 01:00,25,60
103,2024-01-02 02:00,20,60
103,2024-01-02 03:00,25,58
103,2024-01-02 04:00,40,55
103,2024-01-02 05:00,60,50
103,2024-01-02 06:00,100,45
103,2024-01-02 07:00,150,40
103,2024-01-02 08:00,180,35
104,2024-01-01 08:00,95,45
104,2024-01-01 09:00,100,44
104,2024-01-01 10:00,110,42
104,2024-01-01 11:00,115,40
104,2024-01-01 12:00,120,40
104,2024-01-01 13:00,110,42
104,2024-01-01 14:00,105,44
104,2024-01-01 15:00,100,45
104,2024-01-01 16:00,95,48
104,2024-01-01 17:00,90,50
104,2024-01-01 18:00,80,52
104,2024-01-01 19:00,70,55
104,2024-01-01 20:00,60,58
104,2024-01-01 21:00,50,60
104,2024-01-01 22:00,40,60
104,2024-01-01 23:00,30,60
104,2024-01-02 00:00,20,60
104,2024-01-02 01:00,20,60
104,2024-01-02 02:00,25,58
104,2024-01-02 03:00,30,55
104,2024-01-02 04:00,50,50
104,2024-01-02 05:00,80,45
104,2024-01-02 06:00,100,42
104,2024-01-02 07:00,110,40
104,2024-01-02 08:00,105,42
105,2024-01-01 08:00,500,5
105,2024-01-01 09:00,520,4
105,2024-01-01 10:00,550,2
105,2024-01-01 11:00,530,3
105,2024-01-01 12:00,500,5
105,2024-01-01 13:00,450,10
105,2024-01-01 14:00,400,15
105,2024-01-01 15:00,300,20
105,2024-01-01 16:00,200,30
105,2024-01-01 17:00,150,40
105,2024-01-01 18:00,100,45
105,2024-01-01 19:00,80,50
105,2024-01-01 20:00,60,55
105,2024-01-01 21:00,50,58
105,2024-01-01 22:00,40,60
105,2024-01-01 23:00,30,60
