cow_id,breed,age_months,weight_kg,bcs_score,parity,days_since_calving,milk_yield_daily,activity_index,semen_bull_code,conception_success
101,Friesian,36,450,3.5,2,65,22.5,85,FR_001_KUG,1
102,Jersey,48,380,3.0,3,90,18.0,90,JS_001_GOLD,1
103,Ayrshire,24,400,2.5,1,120,20.0,45,AY_001_KE,0
104,Sahiwal,60,500,4.0,4,50,15.0,30,SH_001_HARDY,0
105,Friesian,30,420,3.2,1,70,25.0,88,FR_002_SUPER,1
106,Friesian,72,550,2.8,5,200,12.0,50,FR_003_STD,0
107,Jersey,28,360,3.5,1,60,19.0,82,JS_002_HIGH,1
108,Sahiwal,40,480,3.8,2,85,16.5,75,SH_002_BEEF,1
109,Ayrshire,50,430,2.0,3,110,18.0,40,AY_002_ELITE,0
110,Friesian,34,460,3.4,1,63,24.0,89,FR_001_KUG,1
111,Friesian,42,470,3.6,2,75,23.0,60,FR_003_STD,0
112,Jersey,33,375,3.1,1,68,17.5,84,JS_001_GOLD,1
113,Sahiwal,55,490,4.2,3,95,14.0,35,SH_001_HARDY,0
114,Ayrshire,29,410,2.9,1,55,21.0,80,AY_001_KE,1
115,Friesian,38,455,3.3,2,80,22.0,55,FR_SH_CROSS,0
116,Jersey,45,385,3.0,3,100,16.0,87,JS_002_HIGH,1
117,Sahiwal,65,510,3.9,4,45,13.0,25,BR_001_RANCH,0
118,Friesian,26,415,3.5,0,0,0.0,92,FR_002_SUPER,1
119,Ayrshire,32,425,3.2,1,72,20.5,78,AY_002_ELITE,1
120,Friesian,44,465,2.4,2,130,19.0,42,FR_003_STD,0
121,Fleckvieh,30,400,3.8,1,55,18.0,85,SM_001_DUAL,1
122,East African Zebu,36,300,3.2,1,60,5.0,80,EZ_001_LOCAL,1
123,Friesian,50,480,3.1,3,90,26.0,88,FR_001_KUG,1
124,Jersey,40,370,3.4,2,75,16.0,82,JS_001_GOLD,1
125,Ayrshire,60,450,2.8,4,150,15.0,40,AY_001_KE,0
126,Sahiwal,45,490,4.1,2,50,14.0,35,SH_002_BEEF,0
127,Friesian,33,440,3.3,1,70,24.0,86,FR_002_SUPER,1
128,Boran,48,460,4.5,2,80,8.0,75,BR_002_KING,1
129,Guernsey,38,410,3.6,2,65,19.0,84,GN_001_CREAM,1
130,Friesian,55,500,2.5,4,200,14.0,50,FR_003_STD,0
131,Jersey,26,350,3.2,0,0,0.0,90,JS_002_HIGH,1
132,Fleckvieh,42,480,3.9,2,60,20.0,85,SM_002_MEAT,1
133,East African Zebu,60,320,3.0,4,100,4.0,45,EZ_001_LOCAL,0
134,Friesian,28,430,3.4,1,62,23.0,87,FR_001_KUG,1
135,Ayrshire,35,415,3.1,1,75,20.0,60,AY_002_ELITE,0
136,Sahiwal,70,520,3.8,5,110,12.0,30,SH_001_HARDY,0
137,Guernsey,44,425,3.5,3,85,18.0,81,GN_002_PRIME,1
138,Friesian,39,460,3.2,2,68,25.0,83,FR_SH_CROSS,1
139,Jersey,31,365,3.3,1,58,17.0,88,JS_001_GOLD,1
140,Boran,52,470,4.2,3,95,9.0,72,BR_001_RANCH,1
141,Friesian,46,475,2.9,3,120,21.0,55,FR_003_STD,0
142,Ayrshire,27,405,3.0,1,65,19.0,79,AY_001_KE,1
143,Fleckvieh,36,440,4.0,1,50,19.0,82,SM_001_DUAL,1
144,Sahiwal,38,475,3.7,1,72,13.0,76,SH_002_BEEF,1
145,East African Zebu,40,310,3.5,2,80,6.0,78,EZ_001_LOCAL,1
146,Friesian,62,510,2.6,5,180,15.0,45,FR_002_SUPER,0
147,Jersey,50,390,3.1,4,90,15.0,85,JS_002_HIGH,1
148,Guernsey,33,400,3.4,1,60,18.5,80,GN_001_CREAM,1
149,Friesian,30,425,3.5,1,70,24.5,89,FR_001_KUG,1
150,Boran,45,455,4.4,2,75,8.5,70,BR_002_KING,1
151,Ayrshire,40,430,2.7,2,100,17.0,50,AY_002_ELITE,0
152,Sahiwal,58,505,4.0,4,60,11.0,38,SH_001_HARDY,0
153,Friesian,35,455,3.3,2,65,22.0,84,FR_SH_CROSS,1
154,Fleckvieh,55,520,3.8,3,110,21.0,55,SM_002_MEAT,0
155,Jersey,29,360,3.4,1,55,16.5,86,JS_001_GOLD,1
156,Friesian,41,465,3.0,2,85,23.5,65,FR_003_STD,0
157,East African Zebu,48,315,3.3,3,90,5.5,75,EZ_001_LOCAL,1
158,Guernsey,36,415,3.7,2,70,19.5,83,GN_002_PRIME,1
159,Friesian,32,435,3.6,1,60,25.5,90,FR_002_SUPER,1
160,Ayrshire,44,440,2.9,3,130,16.0,48,AY_001_KE,0
161,Sahiwal,35,465,3.9,1,80,13.5,77,SH_002_BEEF,1
162,Boran,60,480,4.1,4,100,7.0,60,BR_001_RANCH,0
163,Friesian,37,450,3.4,2,68,23.0,85,FR_001_KUG,1
164,Jersey,42,380,3.0,3,95,15.5,80,JS_002_HIGH,1
165,Fleckvieh,32,410,4.1,1,58,18.5,88,SM_001_DUAL,1
166,Friesian,48,490,2.8,3,140,20.0,52,FR_003_STD,0
167,Guernsey,28,395,3.5,1,62,17.0,82,GN_001_CREAM,1
168,East African Zebu,30,290,3.4,1,50,4.5,85,EZ_001_LOCAL,1
169,Ayrshire,33,420,3.2,1,72,21.0,76,AY_002_ELITE,1
170,Sahiwal,50,495,4.3,3,85,12.5,35,SH_001_HARDY,0
171,Friesian,25,410,3.5,0,0,0.0,91,FR_SH_CROSS,1
172,Jersey,38,375,3.3,2,78,16.0,83,JS_001_GOLD,1
173,Boran,40,450,4.6,1,65,9.0,78,BR_002_KING,1
174,Friesian,52,505,2.6,4,160,18.0,45,FR_002_SUPER,0
175,Fleckvieh,45,490,3.7,2,90,20.5,65,SM_002_MEAT,0
176,Guernsey,40,420,3.6,2,75,18.0,80,GN_002_PRIME,1
177,Friesian,34,445,3.3,1,66,24.0,87,FR_001_KUG,1
178,Sahiwal,42,480,4.0,2,70,14.0,79,SH_002_BEEF,1
179,Ayrshire,30,410,3.1,1,60,20.5,84,AY_001_KE,1
180,East African Zebu,55,325,3.1,4,110,3.5,50,EZ_001_LOCAL,0
181,Friesian,43,470,2.9,2,100,22.0,58,FR_003_STD,0
182,Jersey,35,365,3.4,1,70,17.0,85,JS_002_HIGH,1
183,Boran,36,440,4.5,1,55,9.5,80,BR_001_RANCH,1
184,Fleckvieh,38,450,4.0,1,65,19.5,83,SM_001_DUAL,1
185,Friesian,31,430,3.5,1,62,25.0,88,FR_002_SUPER,1
186,Guernsey,50,430,3.3,3,95,16.5,70,GN_001_CREAM,1
187,Sahiwal,48,490,4.2,3,80,11.5,40,SH_001_HARDY,0
188,Ayrshire,36,425,3.0,2,80,19.0,65,AY_002_ELITE,0
189,Friesian,29,420,3.4,1,58,23.5,86,FR_SH_CROSS,1
190,Jersey,46,385,3.2,3,85,15.0,75,JS_001_GOLD,1
191,East African Zebu,42,305,3.6,2,75,5.0,82,EZ_001_LOCAL,1
192,Friesian,58,515,2.5,5,190,16.0,42,FR_003_STD,0
193,Boran,50,475,4.3,3,85,8.0,60,BR_002_KING,0
194,Fleckvieh,48,500,3.6,2,100,21.0,50,SM_002_MEAT,0
195,Guernsey,32,405,3.5,1,55,18.0,84,GN_002_PRIME,1
196,Friesian,36,455,3.3,2,70,24.0,85,FR_001_KUG,1
197,Sahiwal,40,475,3.9,1,65,13.0,78,SH_002_BEEF,1
198,Ayrshire,42,435,2.8,2,90,18.5,55,AY_001_KE,0
199,Jersey,30,355,3.4,1,60,17.5,87,JS_002_HIGH,1
200,Friesian,40,465,3.1,2,80,23.0,70,FR_SH_CROSS,1
201,Friesian,44,480,3.0,3,110,21.0,55,FR_003_STD,0
202,Jersey,24,340,3.3,0,0,0.0,92,JS_001_GOLD,1
203,Sahiwal,65,510,4.1,4,120,10.0,32,SH_001_HARDY,0
204,Boran,38,445,4.6,1,60,9.0,82,BR_001_RANCH,1
205,Guernsey,35,410,3.6,1,68,19.0,85,GN_001_CREAM,1
