cow_id,breed,age_months,weight_kg,bcs_score,parity,days_since_calving,milk_yield_daily,activity_index,semen_bull_code,conception_success,sire_fertility_score,straw_motility_percent
101,Friesian,36,450,3.5,2,65,22.5,85,FR_001_KUG,1,4.5,75
102,Jersey,48,380,3.0,3,90,18.0,90,JS_001_GOLD,1,3.8,65
103,Ayrshire,24,400,2.5,1,120,20.0,45,AY_001_KE,0,4.0,70
104,Sahiwal,60,500,4.0,4,50,15.0,30,SH_001_HARDY,0,4.8,85
105,Friesian,30,420,3.2,1,70,25.0,88,FR_002_SUPER,1,4.7,80
106,Friesian,72,550,2.8,5,200,12.0,50,FR_003_STD,0,3.5,60
107,Jersey,28,360,3.5,1,60,19.0,82,JS_002_HIGH,1,4.4,72
108,Sahiwal,40,480,3.8,2,85,16.5,75,SH_002_BEEF,1,4.9,88
109,Ayrshire,50,430,2.0,3,110,18.0,40,AY_002_ELITE,0,4.6,78
110,Friesian,34,460,3.4,1,63,24.0,89,FR_001_KUG,1,4.5,75
111,Friesian,42,470,3.6,2,75,23.0,60,FR_003_STD,0,3.5,60
112,Jersey,33,375,3.1,1,68,17.5,84,JS_001_GOLD,1,3.8,65
113,Sahiwal,55,490,4.2,3,95,14.0,35,SH_001_HARDY,0,4.8,85
114,Ayrshire,29,410,2.9,1,55,21.0,80,AY_001_KE,1,4.0,70
115,Friesian,38,455,3.3,2,80,22.0,55,FR_SH_CROSS,0,4.6,80
116,Jersey,45,385,3.0,3,100,16.0,87,JS_002_HIGH,1,4.4,72
117,Sahiwal,65,510,3.9,4,45,13.0,25,BR_001_RANCH,0,4.7,82
118,Friesian,26,415,3.5,0,0,0.0,92,FR_002_SUPER,1,4.7,80
119,Ayrshire,32,425,3.2,1,72,20.5,78,AY_002_ELITE,1,4.6,78
120,Friesian,44,465,2.4,2,130,19.0,42,FR_003_STD,0,3.5,60
121,Fleckvieh,30,400,3.8,1,55,18.0,85,SM_001_DUAL,1,4.3,74
122,East African Zebu,36,300,3.2,1,60,5.0,80,EZ_001_LOCAL,1,4.9,90
123,Friesian,50,480,3.1,3,90,26.0,88,FR_001_KUG,1,4.5,75
124,Jersey,40,370,3.4,2,75,16.0,82,JS_001_GOLD,1,3.8,65
125,Ayrshire,60,450,2.8,4,150,15.0,40,AY_001_KE,0,4.0,70
126,Sahiwal,45,490,4.1,2,50,14.0,35,SH_002_BEEF,0,4.9,88
127,Friesian,33,440,3.3,1,70,24.0,86,FR_002_SUPER,1,4.7,80
128,Boran,48,460,4.5,2,80,8.0,75,BR_002_KING,1,4.9,86
129,Guernsey,38,410,3.6,2,65,19.0,84,GN_001_CREAM,1,4.1,68
130,Friesian,55,500,2.5,4,200,14.0,50,FR_003_STD,0,3.5,60
131,Jersey,26,350,3.2,0,0,0.0,90,JS_002_HIGH,1,4.4,72
