timestamp,location,avg_temp_c,humidity_percent,thi_index
2026-01-15 07:52:11,Kakamega,14.6,64,58.2
2026-01-15 07:52:12,Bungoma,15.5,58,59.4
2026-01-15 07:52:13,Busia,15.1,66,58.9
2026-01-15 07:52:15,Vihiga,15.4,62,59.3
2026-01-15 07:52:16,Kisumu,19.2,70,65.1
2026-01-15 07:52:17,Siaya,16.9,66,61.6
2026-01-15 07:52:18,Nandi,16.3,55,60.5
2026-01-15 07:52:19,Uasin Gishu,13.3,64,56.3
2026-01-15 07:52:20,Trans Nzoia,10.0,77,51.0
2026-01-15 07:52:21,Kericho,16.8,61,61.3
2026-01-15 07:52:22,My Location (Nairobi),15.3,69,59.3
